,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
161,junho 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,15.54,51.45,865.62,1.52
162,julho 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,14.68,158.63,703.1,1.23
163,julho 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,14.68,158.63,703.1,1.23
164,julho 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,14.68,158.63,703.1,1.23
165,julho 2015,1.10 Feijao (3 Safra),Parana,5238.0,,6119.0,1168.0,14.68,158.63,703.1,1.23
166,julho 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,14.68,158.63,703.1,1.23
167,julho 2015,1.14 Milho (2 Safra),Parana,1916933.0,,11010142.0,5744.0,14.68,158.63,703.1,1.23
168,julho 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,14.68,158.63,703.1,1.23
169,julho 2015,1.17 Trigo,Parana,1320528.0,,3962696.0,3001.0,14.68,158.63,703.1,1.23
170,julho 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,14.68,158.63,703.1,1.23
171,agosto 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,19.0,28.37,864.86,1.65
172,agosto 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,19.0,28.37,864.86,1.65
173,agosto 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,19.0,28.37,864.86,1.65
174,agosto 2015,1.10 Feijao (3 Safra),Parana,5110.0,,4840.0,947.0,19.0,28.37,864.86,1.65
175,agosto 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,19.0,28.37,864.86,1.65
176,agosto 2015,1.14 Milho (2 Safra),Parana,1914243.0,,11179970.0,5840.0,19.0,28.37,864.86,1.65
177,agosto 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,19.0,28.37,864.86,1.65
178,agosto 2015,1.17 Trigo,Parana,1336128.0,,3962696.0,2966.0,19.0,28.37,864.86,1.65
179,agosto 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,19.0,28.37,864.86,1.65
180,setembro 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,18.07,100.03,736.99,1.23
181,setembro 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,18.07,100.03,736.99,1.23
182,setembro 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,18.07,100.03,736.99,1.23
183,setembro 2015,1.10 Feijao (3 Safra),Parana,5110.0,,4840.0,947.0,18.07,100.03,736.99,1.23
184,setembro 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,18.07,100.03,736.99,1.23
185,setembro 2015,1.14 Milho (2 Safra),Parana,1924854.0,,11284993.0,5863.0,18.07,100.03,736.99,1.23
186,setembro 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,18.07,100.03,736.99,1.23
187,setembro 2015,1.17 Trigo,Parana,1335678.0,,3606878.0,2700.0,18.07,100.03,736.99,1.23
188,setembro 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,18.07,100.03,736.99,1.23
189,outubro 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,20.91,146.94,902.62,1.87
190,outubro 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,20.91,146.94,902.62,1.87
191,outubro 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,20.91,146.94,902.62,1.87
192,outubro 2015,1.10 Feijao (3 Safra),Parana,5110.0,,4840.0,947.0,20.91,146.94,902.62,1.87
193,outubro 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,20.91,146.94,902.62,1.87
194,outubro 2015,1.14 Milho (2 Safra),Parana,1924854.0,,11284993.0,5863.0,20.91,146.94,902.62,1.87
195,outubro 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,20.91,146.94,902.62,1.87
196,outubro 2015,1.17 Trigo,Parana,1337637.0,,3535959.0,2643.0,20.91,146.94,902.62,1.87
197,outubro 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,20.91,146.94,902.62,1.87
198,novembro 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,21.71,239.26,903.05,1.73
199,novembro 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,21.71,239.26,903.05,1.73
200,novembro 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,21.71,239.26,903.05,1.73
201,novembro 2015,1.10 Feijao (3 Safra),Parana,5110.0,,4840.0,947.0,21.71,239.26,903.05,1.73
202,novembro 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,21.71,239.26,903.05,1.73
203,novembro 2015,1.14 Milho (2 Safra),Parana,1924854.0,,11284993.0,5863.0,21.71,239.26,903.05,1.73
204,novembro 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,21.71,239.26,903.05,1.73
205,novembro 2015,1.17 Trigo,Parana,1336887.0,,3427466.0,2564.0,21.71,239.26,903.05,1.73
206,novembro 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,21.71,239.26,903.05,1.73
207,dezembro 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,20.85,199.37,858.47,1.37
208,dezembro 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,20.85,199.37,858.47,1.37
209,dezembro 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,20.85,199.37,858.47,1.37
210,dezembro 2015,1.10 Feijao (3 Safra),Parana,5110.0,,4840.0,947.0,20.85,199.37,858.47,1.37
211,dezembro 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,20.85,199.37,858.47,1.37
212,dezembro 2015,1.14 Milho (2 Safra),Parana,1924854.0,,11284993.0,5863.0,20.85,199.37,858.47,1.37
213,dezembro 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,20.85,199.37,858.47,1.37
214,dezembro 2015,1.17 Trigo,Parana,1339889.0,,3333171.0,2488.0,20.85,199.37,858.47,1.37
215,dezembro 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,20.85,199.37,858.47,1.37
216,janeiro 2016,1.4 Arroz,Parana,26306.0,,148799.0,5656.0,20.63,133.07,738.39,1.34
217,janeiro 2016,1.8 Feijao (1 Safra),Parana,180474.0,,325814.0,1805.0,20.63,133.07,738.39,1.34
218,janeiro 2016,1.9 Feijao (2 Safra),Parana,272197.0,,401054.0,1473.0,20.63,133.07,738.39,1.34
219,janeiro 2016,1.10 Feijao (3 Safra),Parana,4913.0,,5262.0,1071.0,20.63,133.07,738.39,1.34
220,janeiro 2016,1.13 Milho (1 Safra),Parana,429231.0,,3692023.0,8601.0,20.63,133.07,738.39,1.34
221,janeiro 2016,1.14 Milho (2 Safra),Parana,1897198.0,,10378043.0,5470.0,20.63,133.07,738.39,1.34
222,janeiro 2016,1.15 Soja,Parana,5373198.0,,18297273.0,3405.0,20.63,133.07,738.39,1.34
223,janeiro 2016,1.17 Trigo,Parana,1356958.0,,3869723.0,2852.0,20.63,133.07,738.39,1.34
224,janeiro 2016,15 Fumo,Parana,73606.0,,171000.0,2323.0,20.63,133.07,738.39,1.34
225,fevereiro 2016,1.4 Arroz,Parana,26286.0,,148467.0,5648.0,19.9,178.86,781.8,1.1
226,fevereiro 2016,1.8 Feijao (1 Safra),Parana,180149.0,,284549.0,1580.0,19.9,178.86,781.8,1.1
227,fevereiro 2016,1.9 Feijao (2 Safra),Parana,210492.0,,406945.0,1933.0,19.9,178.86,781.8,1.1
228,fevereiro 2016,1.10 Feijao (3 Safra),Parana,4913.0,,5262.0,1071.0,19.9,178.86,781.8,1.1
229,fevereiro 2016,1.13 Milho (1 Safra),Parana,423471.0,,3522269.0,8318.0,19.9,178.86,781.8,1.1
230,fevereiro 2016,1.14 Milho (2 Safra),Parana,2063415.0,,11999966.0,5816.0,19.9,178.86,781.8,1.1
231,fevereiro 2016,1.15 Soja,Parana,5375431.0,,17768012.0,3305.0,19.9,178.86,781.8,1.1
232,fevereiro 2016,1.17 Trigo,Parana,1356958.0,,3869723.0,2852.0,19.9,178.86,781.8,1.1
233,fevereiro 2016,15 Fumo,Parana,73706.0,,157007.0,2130.0,19.9,178.86,781.8,1.1
234,marco 2016,1.4 Arroz,Parana,26260.0,,141857.0,5402.0,22.2,77.73,823.95,1.27
235,marco 2016,1.8 Feijao (1 Safra),Parana,180149.0,,284549.0,1580.0,22.2,77.73,823.95,1.27
